headlen	count	mean	std	min	25%	50%	75%	max
50	3026.0	2.572842130562062	45.296185538678735	0.04983721545722169	0.04983721545722169	0.19934886182888675	0.4983721545722168	2375.939409707587
100	3278.0	2.222058690645143	26.284149285549066	0.024918607728610844	0.04983721545722169	0.09967443091444338	0.32394190047194105	1319.3406047990295
150	3447.0	2.3407876471539453	27.975622773246275	0.016612405152407233	0.033224810304814466	0.08306202576203615	0.2657984824385157	1182.5872855844134
200	3601.0	2.3698038824358965	30.064052338214385	0.012459303864305422	0.024918607728610844	0.06229651932152711	0.2242674695574976	1506.018354597918
300	3845.0	2.102843177615266	22.40239136738418	0.008306202576203616	0.016612405152407233	0.04983721545722169	0.19104265925268316	1055.0455450268068
400	4041.0	1.8380016858768597	16.895181294591737	0.006229651932152711	0.012459303864305422	0.043607563525068976	0.1744302541002759	792.1127024770815
500	4225.0	1.6887384691894471	13.750645233306804	0.004983721545722169	0.009967443091444338	0.03986977236577735	0.16944653255455375	633.7150805893938
700	4539.0	1.5956857465940295	12.95269300572543	0.003559801104087264	0.007119602208174526	0.032038209936785376	0.15663124857983962	543.9091302957013
1000	4886.0	1.472484186697155	10.779417625681829	0.0024918607728610844	0.007475582318583253	0.02741046850147193	0.14951164637166506	447.11707033523726
1500	5282.0	1.3408437687043733	10.108349243730533	0.001661240515240723	0.004983721545722169	0.023257367213370125	0.15781784894786868	409.27151953728065
