headlen	complement_transcription	transcription
100	1.0292367370262507	0.32471653572703413
200	1.205830688236776	0.5052523240651808
300	1.1424942797697752	0.5417634657552391
400	1.1424942797697752	0.5417634657552391
500	1.0081842634344236	0.45432357711214605
700	1.1004069379328267	0.5205361123861253
